Make,Model,Year,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(KMPL),Engine(CC),Power(BHP),Seats,Price(Lakhs)
Maruti,Alto,2008,Delhi,90000,Petrol,Manual,Second,19.0,796.0,46.0,5.0,1.25
Tata,Nano,2014,Kochi,19698,Petrol,Manual,First,25.0,624.0,37.0,4.0,1.53
Mahindra,KUV,2017,Coimbatore,22033,Diesel,Manual,First,25.0,1198.0,77.0,6.0,5.58
Hyundai,i20,2014,Kochi,35487,Petrol,Manual,First,18.0,1197.0,82.0,5.0,4.74
Hyundai,Elantra,2014,Bangalore,46374,Petrol,Automatic,First,14.0,1999.0,149.0,5.0,8.85
Toyota,Corolla,2016,Mumbai,52001,Petrol,Automatic,First,14.0,1798.0,138.0,5.0,10.11
Hyundai,Elantra,2008,Ahmedabad,58005,Diesel,Manual,Second,14.0,1991.0,112.0,5.0,4.25
Toyota,Innova,2012,Bangalore,70704,Petrol,Manual,First,11.0,2694.0,163.0,7.0,10.95
Hyundai,Xcent,2014,Jaipur,75000,Diesel,Manual,First,24.0,1120.0,71.0,5.0,3.85
Mahindra,Thar,2012,Jaipur,75800,Diesel,Manual,Second,16.0,2498.0,105.0,6.0,5.5
Audi,A4,2015,Kochi,13648,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,21.43
Maruti,Swift,2014,Delhi,52000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,4.25
Maruti,Swift,2014,Kolkata,53000,Diesel,Manual,First,17.0,1248.0,75.0,5.0,3.3
Hyundai,Grand,2015,Chennai,54000,Petrol,Manual,Third,18.0,1197.0,82.0,5.0,3.6
Volkswagen,Vento,2015,Kolkata,39000,Petrol,Manual,First,15.0,1598.0,103.0,5.0,3.99
Renault,KWID,2017,Kochi,16542,Petrol,Manual,First,25.0,799.0,53.0,5.0,3.3
Hyundai,i10,2010,Kolkata,32000,Petrol,Manual,First,20.0,1197.0,78.0,5.0,2.07
Nissan,X-Trail,2010,Hyderabad,121812,Diesel,Automatic,First,13.0,1995.0,147.0,5.0,7.75
Maruti,Zen,2010,Hyderabad,39300,Petrol,Manual,First,18.0,998.0,67.0,5.0,2.25
Toyota,Innova,2017,Mumbai,22000,Diesel,Manual,First,13.0,2393.0,147.0,8.0,16.5
Ford,Figo,2010,Bangalore,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
Mercedes-Benz,New,2015,Delhi,58000,Petrol,Automatic,First,11.0,1796.0,186.0,5.0,26.7
Mercedes-Benz,New,2011,Pune,65000,Diesel,Manual,Second,15.0,2148.0,170.0,5.0,10.0
Audi,A4,2012,Jaipur,65664,Diesel,Automatic,First,16.0,1968.0,140.0,5.0,13.5
Honda,City,2007,Mumbai,63000,Petrol,Automatic,Second,16.0,1497.0,78.0,5.0,1.85
Maruti,Ertiga,2016,Pune,63000,Diesel,Manual,First,24.0,1248.0,88.0,7.0,8.15
Hyundai,Creta,2018,Mumbai,13000,Diesel,Manual,First,22.0,1396.0,88.0,5.0,10.5
Mahindra,XUV500,2015,Mumbai,55729,Diesel,Manual,First,15.0,2179.0,140.0,7.0,9.65
Hyundai,i10,2012,Kochi,45178,Petrol,Automatic,First,16.0,1197.0,78.0,5.0,3.48
Nissan,Terrano,2015,Kochi,56066,Diesel,Manual,First,19.0,1461.0,108.0,5.0,6.92
Honda,Brio,2016,Coimbatore,37300,Petrol,Automatic,Second,16.0,1198.0,86.0,5.0,6.46
Audi,A6,2014,Delhi,56000,Diesel,Automatic,Second,18.0,1968.0,187.0,5.0,29.5
Ford,Fiesta,2008,Jaipur,111111,Diesel,Manual,First,17.0,1399.0,97.0,5.0,2.0
Toyota,Innova,2012,Hyderabad,104000,Diesel,Manual,First,12.0,2494.0,102.0,7.0,11.75
Maruti,Swift,2012,Jaipur,95100,Diesel,Manual,First,22.0,1248.0,74.0,5.0,3.75
Tata,Zest,2017,Pune,70000,Petrol,Manual,First,17.0,1193.0,88.0,5.0,4.5
Honda,Amaze,2016,Kochi,54944,Petrol,Manual,First,18.0,1198.0,86.0,5.0,4.82
Ford,Figo,2012,Hyderabad,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8
Maruti,Ritz,2013,Jaipur,99638,Diesel,Manual,First,23.0,1248.0,73.0,5.0,3.11
Honda,City,2009,Delhi,52000,Petrol,Manual,First,17.0,1497.0,117.0,5.0,3.25
BMW,5,2011,Delhi,75000,Diesel,Automatic,Second,16.0,1995.0,218.0,5.0,13.9
Hyundai,i10,2009,Pune,95980,Petrol,Manual,First,20.0,1197.0,78.0,5.0,2.25
Hyundai,Grand,2016,Bangalore,16000,Petrol,Manual,First,18.0,1197.0,82.0,5.0,5.75
Hyundai,Santro,2007,Hyderabad,73745,Petrol,Manual,First,17.0,1086.0,97.0,5.0,2.1
Honda,Amaze,2016,Mumbai,18949,Petrol,Manual,First,17.0,1198.0,86.0,5.0,5.0
Audi,A6,2018,Coimbatore,48367,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,39.58
Ford,Ecosport,2013,Delhi,57000,Diesel,Manual,First,22.0,1498.0,89.0,5.0,5.5
Mahindra,XUV500,2014,Delhi,58000,Diesel,Manual,First,15.0,2179.0,140.0,7.0,8.1
Honda,Amaze,2015,Kolkata,30000,Diesel,Manual,First,25.0,1498.0,98.0,5.0,3.5
Volkswagen,Polo,2013,Kolkata,34212,Diesel,Manual,First,22.0,1199.0,73.0,5.0,2.79
Hyundai,Verna,2010,Ahmedabad,70002,Diesel,Manual,First,16.0,1493.0,110.0,5.0,3.45
Maruti,Wagon,2016,Bangalore,62000,Petrol,Manual,First,18.0,998.0,67.0,5.0,4.45
Volkswagen,Polo,2010,Delhi,62001,Petrol,Manual,First,15.0,1598.0,103.0,5.0,2.65
Hyundai,i20,2011,Pune,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8
Hyundai,i20,2014,Mumbai,30180,Petrol,Manual,First,18.0,1197.0,82.0,5.0,4.65
Datsun,GO,2017,Pune,32851,Petrol,Manual,First,19.0,1198.0,67.0,7.0,3.95
Hyundai,i20,2009,Pune,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7
Maruti,Omni,2010,Coimbatore,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41
Toyota,Etios,2014,Ahmedabad,53000,Petrol,Manual,First,17.0,1197.0,78.0,5.0,3.9
Mahindra,XUV500,2012,Delhi,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75
Hyundai,Verna,2014,Kolkata,40000,Diesel,Automatic,First,22.0,1582.0,126.0,5.0,5.25
Toyota,Innova,2017,Mumbai,30000,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,19.25
Maruti,Eeco,2017,Coimbatore,38053,Petrol,Manual,First,15.0,1196.0,73.0,5.0,3.91
Tata,Nano,2014,Bangalore,25500,Petrol,Manual,First,25.0,624.0,37.0,4.0,2.15
BMW,3,2015,Mumbai,56087,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,20.75
Honda,Civic,2010,Delhi,71088,Petrol,Manual,First,13.0,1799.0,130.0,5.0,3.35
Toyota,Innova,2014,Ahmedabad,55000,Diesel,Manual,First,12.0,2494.0,100.0,7.0,11.11
Volvo,V40,2014,Bangalore,32700,Diesel,Automatic,First,23.0,1984.0,150.0,5.0,20.0
Nissan,Micra,2016,Coimbatore,39882,Petrol,Automatic,First,19.0,1198.0,75.0,5.0,6.55
BMW,5,2009,Mumbai,128000,Petrol,Automatic,First,10.0,2497.0,215.0,5.0,7.0
Maruti,Vitara,2016,Mumbai,55000,Diesel,Manual,First,24.0,1248.0,88.0,5.0,7.5
Hyundai,Santro,2005,Mumbai,102000,Petrol,Manual,Second,17.0,1086.0,97.0,5.0,0.85
Mercedes-Benz,B,2014,Pune,53753,Diesel,Automatic,Second,15.0,2143.0,107.0,5.0,16.75
Hyundai,Verna,2018,Kolkata,10250,Diesel,Manual,First,22.0,1582.0,126.0,5.0,10.95
Maruti,Wagon,2011,Pune,43874,Petrol,Manual,First,18.0,998.0,67.0,5.0,2.45
Tata,Nano,2017,Coimbatore,32684,Petrol,Automatic,First,21.0,624.0,37.0,4.0,3.23
Mahindra,Scorpio,2014,Kolkata,42000,Diesel,Manual,First,12.0,2179.0,120.0,8.0,7.75
Mercedes-Benz,New,2009,Kolkata,28352,Petrol,Automatic,First,11.0,1796.0,178.0,5.0,9.35
Maruti,Wagon,2013,Pune,89900,CNG,Manual,First,26.0,998.0,58.0,5.0,3.25
Honda,CR-V,2007,Bangalore,47700,Petrol,Manual,Second,10.0,2354.0,152.0,5.0,5.25
Volkswagen,Vento,2015,Pune,55000,Diesel,Automatic,First,21.0,1498.0,103.0,5.0,7.25
Maruti,Ciaz,2017,Kochi,44285,Petrol,Manual,First,20.0,1373.0,91.0,5.0,7.47
Mahindra,XUV500,2016,Jaipur,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25
Maruti,Ritz,2016,Coimbatore,30232,Petrol,Manual,First,21.0,1197.0,85.0,5.0,5.81
Maruti,Alto,2014,Hyderabad,88500,Petrol,Manual,First,24.0,998.0,67.0,5.0,2.6
Hyundai,Verna,2019,Kochi,12645,Petrol,Automatic,First,17.0,1591.0,121.0,5.0,11.5
Maruti,Alto,2010,Chennai,94385,Petrol,Manual,Second,19.0,796.0,46.0,5.0,1.6
BMW,1,2015,Coimbatore,31821,Diesel,Automatic,First,20.0,1995.0,143.0,5.0,17.22
Honda,Jazz,2015,Mumbai,12000,Petrol,Automatic,First,19.0,1199.0,88.0,5.0,6.0
Honda,Civic,2012,Delhi,88578,Petrol,Manual,First,13.0,1799.0,130.0,5.0,3.95
Mercedes-Benz,New,2014,Kochi,44965,Diesel,Automatic,First,19.0,2143.0,170.0,5.0,17.95
Honda,Amaze,2014,Kolkata,45044,Diesel,Manual,First,25.0,1498.0,98.0,5.0,3.7
Maruti,Swift,2016,Kochi,34204,Petrol,Manual,First,22.0,1197.0,81.0,5.0,5.43
Hyundai,Santro,2008,Kochi,80759,Petrol,Manual,Third,17.0,1086.0,97.0,5.0,1.67
Chevrolet,Beat,2014,Pune,38800,Petrol,Manual,First,18.0,1199.0,76.0,5.0,2.85
Skoda,Rapid,2013,Chennai,83000,Diesel,Manual,First,21.0,1498.0,103.0,5.0,4.75
Maruti,Ciaz,2018,Kochi,41283,Petrol,Manual,First,20.0,1373.0,91.0,5.0,9.9
BMW,3,2014,Mumbai,48000,Diesel,Automatic,First,21.0,1995.0,190.0,5.0,26.5
Audi,A4,2015,Coimbatore,48214,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,23.32
Maruti,Swift,2016,Chennai,35000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,6.25
Skoda,Rapid,2016,Coimbatore,54620,Diesel,Automatic,First,21.0,1498.0,103.0,5.0,9.86
Hyundai,EON,2019,Kochi,14322,Petrol,Manual,First,21.0,814.0,55.0,5.0,4.23
Volkswagen,Polo,2012,Jaipur,65634,Diesel,Manual,First,22.0,1199.0,73.0,5.0,3.5
Datsun,GO,2016,Kolkata,6000,Petrol,Manual,First,20.0,1198.0,67.0,5.0,2.5
Honda,Brio,2013,Kolkata,33280,Petrol,Manual,First,19.0,1198.0,86.0,5.0,2.39
Mercedes-Benz,B,2013,Delhi,29000,Petrol,Automatic,First,14.0,1595.0,120.0,5.0,11.25
Honda,City,2015,Kochi,42831,Diesel,Manual,First,26.0,1498.0,98.0,5.0,7.11
Toyota,Innova,2016,Ahmedabad,90000,Diesel,Manual,First,12.0,2494.0,100.0,7.0,10.9
Maruti,Swift,2017,Ahmedabad,24005,Petrol,Manual,First,20.0,1197.0,81.0,5.0,6.2
Mahindra,XUV500,2012,Mumbai,32792,Diesel,Manual,First,15.0,2179.0,140.0,7.0,7.9
Volkswagen,Vento,2013,Chennai,65000,Diesel,Automatic,First,21.0,1498.0,108.0,5.0,6.25
Ford,Figo,2010,Jaipur,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1
Mercedes-Benz,New,2017,Coimbatore,23550,Diesel,Automatic,First,19.0,2143.0,167.0,5.0,33.66
Honda,Brio,2012,Bangalore,45000,Petrol,Manual,Second,19.0,1198.0,86.0,5.0,3.65
Hyundai,i10,2013,Delhi,60000,Petrol,Manual,First,20.0,1197.0,78.0,5.0,2.75
Mercedes-Benz,GLC,2016,Bangalore,44414,Diesel,Automatic,First,17.0,2143.0,170.0,5.0,42.5
Hyundai,Grand,2019,Kolkata,1000,Petrol,Manual,First,18.0,1197.0,81.0,5.0,6.5
Audi,A6,2012,Mumbai,62500,Diesel,Automatic,Second,17.0,1968.0,174.0,5.0,19.0
Volkswagen,Vento,2013,Mumbai,21000,Petrol,Automatic,Second,14.0,1598.0,103.0,5.0,4.45
Mini,Countryman,2017,Jaipur,8525,Diesel,Automatic,Second,16.0,1998.0,112.0,5.0,23.0
Hyundai,i20,2014,Bangalore,29000,Diesel,Manual,First,22.0,1396.0,88.0,5.0,8.35
Audi,A6,2014,Mumbai,40000,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,22.95
Chevrolet,Beat,2012,Jaipur,88000,Diesel,Manual,First,25.0,936.0,57.0,5.0,1.5
Skoda,Superb,2012,Kochi,53537,Petrol,Automatic,First,13.0,1798.0,157.0,5.0,6.89
BMW,5,2014,Hyderabad,51000,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,33.5
Chevrolet,Optra,2007,Jaipur,118500,Petrol,Manual,First,12.0,1598.0,102.0,5.0,1.25
Volkswagen,Polo,2012,Hyderabad,63000,Diesel,Manual,First,22.0,1199.0,73.0,5.0,4.2
Renault,Lodgy,2015,Mumbai,25000,Diesel,Manual,First,19.0,1461.0,108.0,8.0,6.75
Mercedes-Benz,E-Class,2014,Bangalore,37382,Diesel,Automatic,First,13.0,2143.0,201.0,5.0,32.0
Maruti,Baleno,2017,Kochi,24773,Petrol,Manual,First,21.0,1197.0,83.0,5.0,7.5
Hyundai,Verna,2012,Delhi,62000,Diesel,Manual,First,22.0,1582.0,126.0,5.0,4.6
Hyundai,i10,2017,Kochi,52340,Petrol,Manual,First,19.0,1086.0,68.0,5.0,4.04
Mahindra,Scorpio,2016,Kochi,56739,Diesel,Manual,First,15.0,1997.0,120.0,7.0,10.31
Land,Rover,2018,Coimbatore,36091,Diesel,Automatic,First,12.0,2179.0,187.0,5.0,55.76
Ford,Figo,2010,Chennai,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6
Maruti,Ertiga,2016,Mumbai,33000,Diesel,Manual,First,25.0,1248.0,88.0,7.0,8.5
Honda,Amaze,2014,Kolkata,52000,Diesel,Manual,First,25.0,1498.0,98.0,5.0,3.5
Hyundai,i10,2015,Jaipur,43571,Petrol,Manual,First,20.0,1197.0,78.0,5.0,3.55
Honda,Amaze,2013,Kolkata,50000,Diesel,Manual,First,25.0,1498.0,98.0,5.0,3.25
Skoda,Laura,2008,Hyderabad,113000,Diesel,Manual,First,17.0,1896.0,106.0,5.0,4.5
Renault,Duster,2014,Delhi,90000,Diesel,Manual,First,19.0,1461.0,83.0,5.0,5.35
Mahindra,NuvoSport,2017,Chennai,29000,Diesel,Manual,Second,17.0,1493.0,100.0,7.0,6.5
Maruti,Vitara,2016,Mumbai,20000,Diesel,Manual,First,24.0,1248.0,88.0,5.0,9.0
Hyundai,i20,2016,Kochi,61012,Petrol,Manual,First,18.0,1197.0,81.0,5.0,6.0
Skoda,Fabia,2009,Jaipur,87459,Petrol,Manual,First,14.0,1390.0,85.0,5.0,2.75
Tata,Indigo,2010,Pune,70500,Petrol,Manual,First,15.0,1193.0,64.0,5.0,1.5
Audi,Q3,2015,Delhi,64103,Diesel,Automatic,First,15.0,1968.0,174.0,5.0,19.9
Skoda,Octavia,2014,Mumbai,76000,Petrol,Automatic,First,14.0,1798.0,177.0,5.0,10.0
Toyota,Etios,2014,Delhi,104000,Diesel,Manual,First,23.0,1364.0,67.0,5.0,3.0
Maruti,Swift,2010,Kolkata,42001,Petrol,Manual,First,16.0,1493.0,97.0,5.0,2.11
Mercedes-Benz,B,2014,Kochi,37245,Petrol,Automatic,First,14.0,1595.0,120.0,5.0,11.96
Hyundai,Verna,2012,Jaipur,117837,Diesel,Manual,Second,22.0,1582.0,126.0,5.0,4.75
Renault,Duster,2014,Mumbai,30000,Diesel,Manual,First,20.0,1461.0,83.0,5.0,5.95
Hyundai,Creta,2015,Delhi,27057,Petrol,Manual,Second,15.0,1591.0,121.0,5.0,8.15
Maruti,Wagon,2016,Mumbai,8500,Petrol,Automatic,First,20.0,998.0,67.0,5.0,4.22
Mercedes-Benz,New,2010,Kolkata,30500,Petrol,Automatic,First,11.0,1796.0,186.0,5.0,10.5
Hyundai,i10,2012,Pune,44000,Petrol,Manual,Second,19.0,1086.0,68.0,5.0,2.9
Skoda,Rapid,2017,Mumbai,10500,Petrol,Automatic,First,14.0,1598.0,103.0,5.0,8.9
Skoda,Superb,2017,Hyderabad,26000,Petrol,Automatic,First,14.0,1798.0,177.0,5.0,26.0
Hyundai,i20,2018,Coimbatore,25166,Petrol,Manual,First,17.0,1197.0,81.0,5.0,8.22
Honda,Amaze,2014,Kolkata,64000,Diesel,Manual,Second,25.0,1498.0,98.0,5.0,3.5
Maruti,Wagon,2004,Chennai,61000,Petrol,Manual,Second,18.0,998.0,67.0,5.0,1.25
Mahindra,Verito,2013,Hyderabad,107000,Diesel,Manual,First,21.0,1461.0,65.0,5.0,3.7
Mercedes-Benz,New,2018,Coimbatore,29161,Diesel,Automatic,First,19.0,2143.0,167.0,5.0,39.41
Maruti,Wagon,2013,Kolkata,32000,Petrol,Manual,First,22.0,998.0,67.0,5.0,2.65
Nissan,Terrano,2015,Coimbatore,46173,Diesel,Manual,Second,19.0,1461.0,108.0,5.0,8.92
Maruti,Swift,2013,Delhi,47000,Diesel,Manual,First,17.0,1248.0,97.0,5.0,4.1
Mini,Cooper,2017,Kochi,26327,Petrol,Automatic,First,16.0,1998.0,189.0,4.0,35.67
Chevrolet,Beat,2016,Kochi,60813,Petrol,Manual,Second,18.0,1199.0,76.0,5.0,3.32
Volkswagen,Polo,2012,Mumbai,45000,Diesel,Manual,First,22.0,1199.0,73.0,5.0,3.6
Maruti,Swift,2016,Hyderabad,64000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,6.8
Ford,Figo,2012,Kolkata,41284,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.5
Toyota,Innova,2019,Kochi,14165,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,19.64
Hyundai,Santa,2011,Mumbai,67000,Diesel,Automatic,Second,11.0,2199.0,194.0,7.0,7.0
Honda,City,2011,Kolkata,32572,Petrol,Manual,First,17.0,1497.0,117.0,5.0,3.87
Hyundai,i20,2018,Kochi,14960,Petrol,Manual,First,18.0,1197.0,81.0,5.0,6.27
Mercedes-Benz,New,2015,Kochi,55980,Diesel,Automatic,First,19.0,2143.0,167.0,5.0,18.12
Chevrolet,Beat,2013,Mumbai,74000,Diesel,Manual,First,25.0,936.0,57.0,5.0,2.65
Hyundai,i20,2015,Kochi,56847,Diesel,Manual,First,22.0,1396.0,88.0,5.0,7.2
Toyota,Innova,2015,Coimbatore,121374,Diesel,Manual,First,12.0,2494.0,100.0,7.0,14.3
Maruti,Ertiga,2013,Chennai,52000,Diesel,Manual,First,20.0,1248.0,88.0,7.0,6.9
Toyota,Innova,2014,Mumbai,118000,Diesel,Manual,First,12.0,2494.0,102.0,7.0,10.75
Hyundai,Santro,2007,Mumbai,72000,Petrol,Manual,Third,17.0,1086.0,97.0,5.0,0.95
Honda,City,2016,Kochi,33915,Petrol,Manual,First,17.0,1497.0,117.0,5.0,8.09
BMW,X1,2014,Ahmedabad,82002,Diesel,Automatic,First,17.0,1995.0,184.0,5.0,18.5
Hyundai,Grand,2017,Mumbai,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75
Skoda,Rapid,2012,Kolkata,55000,Diesel,Manual,First,20.0,1598.0,103.0,5.0,3.5
Volkswagen,Polo,2014,Jaipur,60000,Diesel,Manual,Second,19.0,1498.0,103.0,5.0,3.7
Honda,Jazz,2017,Coimbatore,49575,Petrol,Manual,First,18.0,1199.0,88.0,5.0,7.17
Hyundai,i10,2010,Jaipur,83000,Petrol,Manual,First,19.0,1086.0,68.0,5.0,1.75
Hyundai,Tucson,2018,Kochi,51346,Diesel,Automatic,First,16.0,1995.0,183.0,5.0,21.99
Toyota,Innova,2017,Pune,43000,Diesel,Manual,First,13.0,2393.0,147.0,7.0,18.65
Maruti,Omni,2011,Jaipur,35000,Petrol,Manual,Third,19.0,796.0,35.0,5.0,1.85
Maruti,Swift,2017,Coimbatore,27872,Petrol,Manual,Second,20.0,1197.0,81.0,5.0,5.95
Hyundai,Grand,2014,Mumbai,16514,Petrol,Manual,First,18.0,1197.0,82.0,5.0,3.75
Maruti,Swift,2012,Pune,120000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,3.75
Hyundai,i20,2010,Mumbai,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.8
Mercedes-Benz,New,2014,Bangalore,57000,Diesel,Manual,Second,15.0,2148.0,170.0,5.0,18.0
Maruti,Ritz,2014,Hyderabad,88500,Diesel,Manual,First,23.0,1248.0,73.0,5.0,4.35
Hyundai,Creta,2016,Bangalore,28000,Diesel,Manual,First,19.0,1582.0,126.0,5.0,13.75
Maruti,A-Star,2010,Pune,67000,Petrol,Manual,First,19.0,998.0,66.0,5.0,2.0
Renault,Duster,2016,Delhi,26000,Diesel,Manual,First,19.0,1461.0,108.0,5.0,10.0
Fiat,Grande,2010,Delhi,120000,Diesel,Manual,First,17.0,1248.0,76.0,5.0,1.65
Hyundai,i10,2010,Bangalore,36000,Petrol,Manual,Second,20.0,1197.0,78.0,5.0,3.25
Toyota,Innova,2016,Pune,47000,Diesel,Manual,First,12.0,2494.0,102.0,7.0,12.8
Maruti,Zen,2002,Mumbai,60000,Petrol,Manual,Third,17.0,993.0,60.0,5.0,0.55
Mahindra,Scorpio,2013,Pune,105000,Diesel,Manual,Second,12.0,2179.0,120.0,8.0,7.0
Tata,Zest,2017,Pune,121900,Diesel,Manual,First,22.0,1248.0,74.0,5.0,3.75
Ford,EcoSport,2017,Mumbai,22695,Petrol,Manual,First,18.0,999.0,123.0,5.0,8.5
Maruti,Swift,2012,Jaipur,73000,Diesel,Manual,First,23.0,1248.0,74.0,5.0,4.35
Maruti,Alto,2016,Kochi,32227,Petrol,Manual,First,22.0,796.0,47.0,5.0,3.26
Honda,City,2011,Jaipur,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.21
Skoda,Laura,2009,Mumbai,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,2.95
Hyundai,Verna,2012,Kochi,54308,Petrol,Manual,First,17.0,1591.0,121.0,5.0,4.28
Honda,City,2009,Jaipur,78442,Petrol,Automatic,First,16.0,1497.0,118.0,5.0,3.57
Hyundai,i20,2013,Kolkata,46000,Diesel,Manual,First,21.0,1396.0,88.0,5.0,3.11
Hyundai,i20,2014,Coimbatore,45051,Petrol,Automatic,First,15.0,1396.0,98.0,5.0,5.96
Volkswagen,Vento,2011,Hyderabad,69000,Diesel,Manual,First,20.0,1598.0,103.0,5.0,4.7
Honda,City,2014,Ahmedabad,49000,Petrol,Manual,First,17.0,1497.0,117.0,5.0,6.9
Tata,Zest,2018,Pune,45000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,5.25
BMW,5,2015,Pune,64000,Diesel,Automatic,First,18.0,1995.0,177.0,5.0,28.0
Maruti,Wagon,2009,Delhi,60000,Petrol,Manual,First,18.0,1061.0,67.0,5.0,1.35
Honda,Jazz,2015,Delhi,62178,Petrol,Manual,First,18.0,1199.0,88.0,5.0,4.85
